"","continent","country","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","positive_rate","people_fully_vaccinated","people_fully_vaccinated_per_hundred","population","population_density","median_age","aged_65_older","gdp_per_capita","human_development_index","democ","polity2","idv","ape","rpe","rpr"
"1","Asia","Afghanistan",156040,7260,3917.116,182.25,NA,NA,NA,39835428,54.422,18.6,2.581,1803.987,0.511,1,-1,NA,NA,NA,NA
"2","Europe","Albania",181960,2880,63335.949,1002.46,NA,871496,30.33,2872934,104.871,38,13.188,11803.431,0.795,9,9,NA,NA,NA,NA
"3","Africa","Algeria",205903,5894,4614.939,132.103,NA,NA,NA,44616626,17.348,29.1,6.211,13913.839,0.748,3,2,NA,NA,NA,NA
"4","Europe","Andorra",15425,130,199407.917,1680.585,0.045,NA,NA,77354,163.755,NA,NA,NA,0.868,NA,NA,NA,NA,NA,NA
"5","Africa","Angola",63930,1701,1883.973,50.127,NA,1604661,4.73,33933611,23.89,16.8,2.405,5819.495,0.581,2,-2,NA,NA,NA,NA
"6","North America","Anguilla",NA,NA,NA,NA,NA,9157,60.54,15125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","North America","Antigua and Barbuda",4031,99,40829.349,1002.755,NA,48797,49.43,98728,231.845,32.1,6.933,21490.943,0.778,NA,NA,NA,NA,NA,NA
"8","South America","Argentina",5281585,115851,115809.444,2540.268,0.023,25336749,55.56,45605823,16.177,31.9,11.198,18933.907,0.845,8.8,8.8,46,0.785949432849884,1.9023668050766,1.14727630615234
"9","Asia","Armenia",296552,6055,99912.133,2040.006,0.122,210247,7.08,2968128,102.931,35.7,11.232,8787.58,0.776,5.4,5.4,NA,NA,NA,NA
"10","North America","Aruba",NA,NA,NA,NA,NA,76504,71.37,107195,584.8,41.2,13.085,35973.781,NA,NA,NA,NA,NA,NA,NA
"11","Oceania","Australia",162016,1653,6282.559,64.099,0.013,15733744,61.01,25788217,3.202,37.9,15.504,44648.71,0.944,10,10,90,NA,NA,NA
"12","Europe","Austria",801456,11261,88626.52,1245.263,0.01,5586892,61.78,9043072,106.749,44.4,19.202,45436.686,0.922,10,10,55,0.846982479095459,1.19948699474335,0.920585584640503
"13","Asia","Azerbaijan",517802,6915,50648.985,676.393,0.182,4323260,42.29,10223344,119.309,32.4,6.018,15847.419,0.756,0,-7,NA,NA,NA,NA
"14","North America","Bahamas",22259,642,56080.158,1617.479,NA,114612,28.88,396914,39.497,34.3,8.996,27717.847,0.814,NA,NA,NA,NA,NA,NA
"15","Asia","Bahrain",276608,1393,158215.862,796.776,0.004,1138329,65.11,1748295,1935.907,32.4,2.372,43290.705,0.852,0,-10,NA,NA,NA,NA
"16","Asia","Bangladesh",1567981,27828,9428.431,167.333,0.018,20590638,12.38,166303494,1265.036,27.5,5.098,3523.984,0.632,2.4,-0.4,20,NA,NA,NA
"17","North America","Barbados",15588,139,54179.932,483.129,NA,119195,41.43,287708,664.463,39.8,14.952,16978.068,0.814,NA,NA,NA,NA,NA,NA
"18","Europe","Belarus",588231,4530,62293.687,479.727,0.058,1863182,19.73,9442867,46.858,40.3,14.799,17167.967,0.823,0,-7,NA,NA,NA,NA
"19","Europe","Belgium",1328202,25889,114181.9,2225.607,0.088,8533325,73.36,11632334,375.564,41.8,18.571,42658.576,0.931,8,8,75,0.752688264846802,1.23452038764954,1.04477560520172
"20","North America","Belize",25881,476,63917.118,1175.555,0.18,NA,NA,404915,16.426,25,3.853,7824.362,0.716,NA,NA,NA,NA,NA,NA
"21","Africa","Benin",24678,161,1982.005,12.931,NA,186951,1.5,12451031,99.11,18.8,3.244,2064.236,0.545,7,7,NA,NA,NA,NA
"22","North America","Bermuda",NA,NA,NA,NA,NA,43738,70.44,62092,1308.82,NA,NA,50669.315,NA,NA,NA,NA,NA,NA,NA
"23","Asia","Bhutan",2617,3,3355.558,3.847,0,517513,66.36,779900,21.188,28.6,4.885,8708.597,0.654,6.2,5.4,NA,NA,NA,NA
"24","South America","Bolivia",509919,18901,43093.193,1597.321,0.084,NA,NA,11832936,10.202,25.4,6.704,6885.829,0.718,7,7,NA,NA,NA,NA
"25","Europe","Bosnia and Herzegovina",249349,11397,76406.353,3492.307,0.254,NA,NA,3263459,68.496,42.5,16.569,11713.895,0.78,NA,NA,NA,NA,NA,NA
"26","Africa","Botswana",185985,2402,77582.97,1001.986,NA,263852,11.01,2397240,4.044,25.8,3.941,15807.374,0.735,8,8,NA,NA,NA,NA
"27","South America","Brazil",21735560,605804,101571.15,2830.947,NA,115489354,53.97,213993441,25.04,33.5,8.552,14103.452,0.765,8,8,38,0.725893008708954,1.48929996490479,1.17733626365662
"28","North America","British Virgin Islands",NA,NA,NA,NA,NA,15762,51.81,30423,207.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Asia","Brunei",12384,81,28047.797,183.452,NA,241059,54.6,441532,81.347,32.4,4.591,71809.251,0.838,NA,NA,NA,NA,NA,NA
"30","Europe","Bulgaria",575306,23316,83418.121,3380.769,0.156,1448683,21.01,6896655,65.18,44.7,20.801,18563.307,0.816,9,9,30,NA,NA,NA
"31","Africa","Burkina Faso",14793,214,688.139,9.955,NA,278016,1.29,21497097,70.151,17.6,2.409,1703.102,0.452,6,4.8,NA,NA,NA,NA
"32","Africa","Burundi",19945,38,1627.442,3.101,NA,NA,NA,12255429,423.062,17.5,2.562,702.225,0.433,3,0.4,NA,NA,NA,NA
"33","Asia","Cambodia",117888,2743,6956.503,161.863,NA,12967268,76.52,16946446,90.672,25.6,4.412,3645.07,0.594,1.8,-0.4,NA,NA,NA,NA
"34","Africa","Cameroon",100289,1600,3683.81,58.771,NA,155738,0.57,27224262,50.885,18.8,3.165,3364.926,0.563,1,-4,NA,NA,NA,NA
"35","North America","Canada",1709167,28838,44897.838,757.541,0.026,28063268,73.72,38067913,4.037,41.4,16.984,44017.591,0.929,10,10,80,0.732918775081634,0.898765027523041,0.944416332244873
"36","Africa","Cape Verde",38148,349,67890.963,621.106,NA,201213,35.81,561901,135.58,25.7,4.46,6222.554,0.665,10,10,NA,NA,NA,NA
"37","North America","Cayman Islands",NA,NA,NA,NA,NA,56106,84.37,66498,256.496,NA,NA,49903.029,NA,NA,NA,NA,NA,NA,NA
"38","Africa","Central African Republic",11518,100,2341.063,20.325,NA,285529,5.8,4919987,7.479,18.3,3.655,661.24,0.397,7,3.6,NA,NA,NA,NA
"39","Africa","Chad",5069,174,299.675,10.287,NA,44478,0.26,16914985,11.833,16.7,2.486,1768.153,0.398,1,-2,NA,NA,NA,NA
"40","South America","Chile",1683451,37685,87623.323,1961.497,0.028,14627647,76.14,19212362,24.282,35.4,11.087,22767.037,0.851,10,10,23,0.550476998090744,0.621310126781464,1.04793639183044
"41","Asia","China",96937,4636,67.121,3.21,NA,NA,NA,1444216102,147.674,38.7,10.641,15308.712,0.761,0,-7,20,NA,NA,NA
"42","South America","Colombia",4992586,127099,97386.211,2479.214,0.045,20498474,39.98,51265841,44.223,32.2,7.646,13254.949,0.767,7,7,13,0.664983987808228,1.16670804023743,1.25300607681274
"43","Africa","Comoros",4219,147,4748.688,165.456,NA,162098,18.24,888456,437.352,20.4,2.963,1413.89,0.554,7.2,6.6,NA,NA,NA,NA
"44","Africa","Congo",16868,249,2981.784,44.016,NA,120167,2.12,5657017,15.405,19,3.402,4881.406,0.574,0,-4,NA,NA,NA,NA
"45","Oceania","Cook Islands",NA,NA,NA,NA,NA,11192,63.69,17572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","North America","Costa Rica",557165,6983,108417.835,1358.811,0.137,2527143,49.18,5139053,96.079,33.6,9.468,15524.995,0.81,10,10,15,NA,NA,NA
"47","Africa","Cote d'Ivoire",61208,690,2262.469,25.505,0.009,840670,3.11,27053629,76.399,18.7,2.933,3601.006,0.538,5,4,NA,NA,NA,NA
"48","Europe","Croatia",446005,9060,109270.573,2219.687,0.281,1774513,43.48,4081657,73.726,44,19.724,22669.797,0.851,9,9,33,NA,NA,NA
"49","North America","Cuba",946960,8191,83672.204,723.747,NA,7013247,61.97,11317498,110.408,43.1,14.738,NA,0.783,0.2,-6.6,NA,NA,NA,NA
